road_condition,contract_area_m2,contract_period,building_age,contract_year,contract_month,갈현동,고등동,금광동,금토동,단대동,도촌동,복정동,사송동,산성동,상대원동,상적동,성남동,수진동,시흥동,신촌동,신흥동,심곡동,양지동,여수동,오야동,은행동,중앙동,창곡동,태평동,하대원동,deposit
0.0,-0.9956075116634725,2,-0.5905471932040436,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.8687409450390902
0.0,-1.3710696506464648,2,-2.132237244701116,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.7063321803007548
0.0,-1.7281667937009413,2,-2.132237244701116,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.7063321803007548
0.0,-0.4206811113457653,2,1.1325181584691553,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.193558474515761
0.0,-0.539543446105327,2,0.7697675581169028,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6521959253879763
0.0,-0.2518251765585774,2,-2.0415495946130533,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1884367416464918
1.0,0.618471574942761,2,-1.95086194452499,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1884367416464918
1.0,0.5317479830581023,2,-1.95086194452499,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.323777378928438
0.0,-0.8609308748543556,2,0.04426635741239807,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.43565090573686244
1.0,0.9755687179972374,2,0.5883922579407767,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1884367416464918
1.0,0.7194790525495984,2,-1.95086194452499,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.2711618399020614
1.0,0.7194790525495984,2,-1.95086194452499,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.2711618399020614
1.0,0.7715132076803938,2,-0.4091718930279174,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.024215368399745998
0.0,-1.427184915983597,2,0.951142858293029,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.32737839591130546
0.0,-1.320055773067254,2,0.31632930767658735,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.7604684352135332
1.0,1.3122603100200292,2,-1.95086194452499,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1343004867337134
0.0,2.747280686323233,2,-2.132237244701116,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2.812524389029846
0.0,-1.4220835282256756,2,0.7697675581169028,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.8687409450390902
1.0,1.6412998204059397,2,0.04426635741239807,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6470741925187071
1.0,0.21036055430907363,2,-1.95086194452499,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6215267809487197
0.0,-1.381272426162307,2,0.951142858293029,2022,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.9553589528995358
0.0,0.41696675850487774,2,0.7697675581169028,2022,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.32225666304203626
0.0,-1.381272426162307,2,0.951142858293029,2022,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.9553589528995358
